                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6431,                 2.1675,                  1.232,                0.73758,                0.60012,                0.61345,                0.24039,                 2.1839,                 1.6253,                 1.0425,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.2851,                 1.2867,                 1.0848,                0.70856,                0.64837,                0.63584,                0.25297,                  2.058,                 1.1865,                0.99932,              0.0012986,              0.0012986,              0.0012986
                      3,                 2.1903,                 1.1706,                 1.0615,                0.77672,                0.65645,                0.68331,                0.28663,                  1.984,                 1.0277,                0.99957,              0.0019126,              0.0019126,              0.0019126
                      4,                 2.1029,                 1.1134,                  1.049,                0.78048,                0.68772,                0.67551,                0.28405,                 1.9947,                0.98698,                 1.0016,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.0988,                 1.1065,                 1.0454,                0.78932,                0.66618,                0.68766,                0.28247,                 1.9607,                 0.9967,                0.98886,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.0511,                 1.0829,                 1.0384,                  0.825,                0.71692,                0.73239,                0.32355,                 1.8615,                0.96367,                0.97331,               0.001802,               0.001802,               0.001802
                      7,                  2.037,                 1.0764,                 1.0375,                0.80777,                0.72484,                0.72826,                0.32579,                 1.8403,                0.93789,                0.96723,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.0288,                   1.08,                 1.0279,                0.81478,                0.71112,                 0.7241,                0.31155,                 1.8686,                0.94798,                0.96866,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.0079,                  1.059,                 1.0252,                0.83956,                0.72044,                0.74416,                0.33441,                 1.8563,                0.93469,                0.96888,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.9981,                 1.0558,                 1.0274,                0.82311,                0.71216,                0.73184,                0.32567,                 1.8558,                0.94979,                0.97225,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.9756,                 1.0287,                 1.0196,                0.84602,                0.72479,                0.75848,                0.34799,                  1.812,                0.90965,                0.95904,               0.001604,               0.001604,               0.001604
                     12,                 1.9847,                 1.0274,                 1.0188,                0.83185,                0.72635,                 0.7467,                0.33314,                 1.8666,                0.91498,                0.97065,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.9633,                 1.0096,                 1.0133,                0.83604,                0.73328,                 0.7464,                0.33662,                 1.8172,                0.90723,                0.96424,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.9589,                 1.0111,                 1.0154,                0.83448,                0.71547,                0.73715,                0.32998,                 1.8405,                0.91054,                0.96658,              0.0014852,              0.0014852,              0.0014852
                     15,                  1.976,                 1.0408,                 1.0256,                0.83662,                0.72106,                0.74527,                0.33153,                  1.865,                0.90513,                0.96568,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.9487,                 1.0288,                 1.0078,                0.84475,                0.72904,                0.75491,                 0.3469,                 1.8166,                0.93752,                0.96356,               0.001406,               0.001406,               0.001406
                     17,                 1.9353,                0.99981,                 1.0115,                0.84477,                0.72893,                0.75512,                 0.3494,                 1.8006,                0.89754,                0.95826,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.9353,                0.98854,                 1.0086,                0.85259,                0.73302,                0.75901,                0.34891,                 1.8198,                0.90217,                0.95749,              0.0013268,              0.0013268,              0.0013268
